emp_length,avg_interest_rate
,13.1941919191919
1 year,13.2791172524819
10+ years,13.0174553034555
2 years,13.1364563824544
3 years,13.1938647396293
4 years,13.1511205135687
5 years,13.0743373151308
6 years,13.1816014376997
7 years,13.1445452613685
8 years,13.2368758256275
9 years,13.0873862191711
< 1 year,13.1191087138668
