bucket_start,total_loans,defaults,default_rate
26.77,111,25,22.52
26.99,44,19,43.18
27.27,105,2,1.9
27.31,23,14,60.87
27.34,21,8,38.1
27.49,23,7,30.43
27.79,25,10,40.0
27.88,11,6,54.55
27.99,6,3,50.0
28.14,7,7,100.0
28.18,15,4,26.67
28.34,14,8,57.14
28.49,8,5,62.5
28.67,10,9,90.0
28.69,77,28,36.36
28.72,107,19,17.76
28.88,8,3,37.5
28.99,11,6,54.55
29.49,37,14,37.84
29.67,8,0,0.0
29.69,61,11,18.03
29.96,9,5,55.56
29.99,29,9,31.03
30.17,53,7,13.21
30.49,28,10,35.71
30.65,49,9,18.37
30.74,17,6,35.29
30.75,57,13,22.81
30.79,67,17,25.37
30.84,42,13,30.95
30.89,29,11,37.93
30.94,38,10,26.32
30.99,51,19,37.25
